WIND,SOLAR,HYDRO
0.64375,0,0.64375
0.68,0,0.68
0.695375,0,0.695375
0.73575,0,0.73575
0.770625,0,0.770625
0.800625,0,0.800625
0.825875,0,0.825875
0.84225,0,0.84225
0.884,0,0.884
0.877125,0,0.877125
0.838625,0,0.838625
0.77925,0,0.77925
0.7235,0,0.7235
0.714,0.037636364,0.714
0.70675,0.218,0.70675
0.64475,0.413363636,0.64475
0.66375,0.453818182,0.66375
0.716125,0.441818182,0.716125
0.798125,0.409181818,0.798125
0.87775,0.290545455,0.87775
0.93825,0.17,0.93825
0.9795,0.084090909,0.9795
0.983375,0.015454545,0.983375
0.99125,0,0.99125
0.994875,0,0.994875
0.99475,0,0.99475
0.993375,0,0.993375
0.9925,0,0.9925
0.9925,0,0.9925
0.99075,0,0.99075
0.984375,0,0.984375
0.976375,0,0.976375
0.97025,0,0.97025
0.974625,0,0.974625
0.98025,0,0.98025
0.985,0,0.985
0.98275,0,0.98275
0.9775,0.038090909,0.9775
0.9735,0.223181818,0.9735
0.94,0.420363636,0.94
0.88425,0.479727273,0.88425
0.858625,0.480636364,0.858625
0.8475,0.459,0.8475
0.84725,0.400363636,0.84725
0.865375,0.311,0.865375
0.907125,0.177818182,0.907125
0.9315,0.031363636,0.9315
0.94125,9.09091E-05,0.94125
0.963625,0,0.963625
0.975375,0,0.975375
0.965875,0,0.965875
0.9455,0,0.9455
0.9305,0,0.9305
0.89625,0,0.89625
0.85575,0,0.85575
0.81925,0,0.81925
0.77875,0,0.77875
0.739375,0,0.739375
0.6825,0,0.6825
0.6035,0,0.6035
0.520375,0,0.520375
0.449125,0.018363636,0.449125
0.362625,0.202363636,0.362625
0.272125,0.305181818,0.272125
0.223875,0.377090909,0.223875
0.220125,0.414454545,0.220125
0.22525,0.392363636,0.22525
0.218375,0.366727273,0.218375
0.207375,0.328272727,0.207375
0.188625,0.226181818,0.188625
0.188625,0.072545455,0.188625
0.22625,0.001363636,0.22625
0.266625,0,0.266625
0.299,0,0.299
0.36375,0,0.36375
0.415,0,0.415
0.411625,0,0.411625
0.4255,0,0.4255
0.457375,0,0.457375
0.4705,0,0.4705
0.4645,0,0.4645
0.47375,0,0.47375
0.446125,0,0.446125
0.43775,0,0.43775
0.448,0,0.448
0.451,0.022,0.451
0.394625,0.225545455,0.394625
0.37125,0.381636364,0.37125
0.4925,0.481818182,0.4925
0.655625,0.498363636,0.655625
0.7575,0.446,0.7575
0.824375,0.401454545,0.824375
0.86625,0.343363636,0.86625
0.91275,0.247090909,0.91275
0.937375,0.073636364,0.937375
0.951125,0.001272727,0.951125
0.940625,0,0.940625
0.877625,0,0.877625
0.80325,0,0.80325
0.658125,0,0.658125
0.528125,0,0.528125
